Bands	Reflectance
350.0	0.0009
351.0	0.0009
352.0	0.0009
353.0	0.001
354.0	0.0011
355.0	0.0011
356.0	0.0013
357.0	0.0012
358.0	0.0011
359.0	0.0011
360.0	0.0012
361.0	0.0013
362.0	0.0014
363.0	0.0014
364.0	0.0014
365.0	0.0015
366.0	0.0015
367.0	0.0015
368.0	0.0015
369.0	0.0014
370.0	0.0015
371.0	0.0017
372.0	0.0018
373.0	0.0019
374.0	0.0018
375.0	0.0018
376.0	0.0018
377.0	0.0019
378.0	0.0018
379.0	0.0018
380.0	0.0019
381.0	0.0019
382.0	0.0019
383.0	0.002
384.0	0.002
385.0	0.002
386.0	0.0021
387.0	0.0023
388.0	0.0023
389.0	0.0023
390.0	0.0022
391.0	0.0024
392.0	0.0025
393.0	0.0026
394.0	0.0026
395.0	0.0026
396.0	0.0028
397.0	0.003
398.0	0.003
399.0	0.0032
400.0	0.0033
401.0	0.0036
402.0	0.0036
403.0	0.0036
404.0	0.0039
405.0	0.0041
406.0	0.0043
407.0	0.0044
408.0	0.0046
409.0	0.0049
410.0	0.005
411.0	0.0053
412.0	0.0056
413.0	0.0059
414.0	0.006
415.0	0.0062
416.0	0.0065
417.0	0.0069
418.0	0.0072
419.0	0.0075
420.0	0.0078
421.0	0.008
422.0	0.0084
423.0	0.0088
424.0	0.0092
425.0	0.0096
426.0	0.0099
427.0	0.0102
428.0	0.0106
429.0	0.011
430.0	0.0113
431.0	0.0117
432.0	0.012
433.0	0.0123
434.0	0.0126
435.0	0.0128
436.0	0.0131
437.0	0.0135
438.0	0.0138
439.0	0.0142
440.0	0.0145
441.0	0.0149
442.0	0.015
443.0	0.0152
444.0	0.0155
445.0	0.0159
446.0	0.0162
447.0	0.0164
448.0	0.0168
449.0	0.017
450.0	0.0173
451.0	0.0176
452.0	0.0178
453.0	0.018
454.0	0.0183
455.0	0.0186
456.0	0.0188
457.0	0.019
458.0	0.0193
459.0	0.0195
460.0	0.0198
461.0	0.0199
462.0	0.0199
463.0	0.0201
464.0	0.0204
465.0	0.0206
466.0	0.0208
467.0	0.0209
468.0	0.0212
469.0	0.0216
470.0	0.0217
471.0	0.0219
472.0	0.022
473.0	0.0223
474.0	0.0228
475.0	0.0229
476.0	0.0232
477.0	0.0236
478.0	0.0238
479.0	0.0241
480.0	0.0246
481.0	0.0251
482.0	0.0255
483.0	0.0259
484.0	0.0263
485.0	0.0267
486.0	0.0272
487.0	0.0278
488.0	0.0284
489.0	0.0289
490.0	0.0297
491.0	0.0306
492.0	0.0313
493.0	0.0322
494.0	0.0331
495.0	0.034
496.0	0.0351
497.0	0.0363
498.0	0.0376
499.0	0.039
500.0	0.0405
501.0	0.0421
502.0	0.0439
503.0	0.0458
504.0	0.0478
505.0	0.05
506.0	0.0525
507.0	0.0552
508.0	0.0581
