Bands	Reflectance
350.0	0.001
351.0	0.001
352.0	0.001
353.0	0.001
354.0	0.001
355.0	0.001
356.0	0.0011
357.0	0.0012
358.0	0.0012
359.0	0.0011
360.0	0.0012
361.0	0.0014
362.0	0.0014
363.0	0.0014
364.0	0.0014
365.0	0.0014
366.0	0.0014
367.0	0.0015
368.0	0.0014
369.0	0.0014
370.0	0.0015
371.0	0.0016
372.0	0.0018
373.0	0.0018
374.0	0.0016
375.0	0.0016
376.0	0.0018
377.0	0.0018
378.0	0.0017
379.0	0.0017
380.0	0.0018
381.0	0.0019
382.0	0.0019
383.0	0.002
384.0	0.0019
385.0	0.0018
386.0	0.002
387.0	0.0021
388.0	0.0023
389.0	0.0023
390.0	0.0021
391.0	0.0022
392.0	0.0023
393.0	0.0024
394.0	0.0025
395.0	0.0025
396.0	0.0026
397.0	0.0028
398.0	0.0028
399.0	0.0029
400.0	0.0032
401.0	0.0034
402.0	0.0034
403.0	0.0035
404.0	0.0038
405.0	0.0039
406.0	0.0041
407.0	0.0042
408.0	0.0044
409.0	0.0046
410.0	0.0048
411.0	0.005
412.0	0.0054
413.0	0.0056
414.0	0.0058
415.0	0.006
416.0	0.0063
417.0	0.0066
418.0	0.0069
419.0	0.0072
420.0	0.0075
421.0	0.0077
422.0	0.008
423.0	0.0084
424.0	0.0088
425.0	0.0092
426.0	0.0094
427.0	0.0096
428.0	0.01
429.0	0.0105
430.0	0.0108
431.0	0.0111
432.0	0.0114
433.0	0.0116
434.0	0.012
435.0	0.0122
436.0	0.0125
437.0	0.0128
438.0	0.0131
439.0	0.0134
440.0	0.0138
441.0	0.0141
442.0	0.0144
443.0	0.0146
444.0	0.0148
445.0	0.0152
446.0	0.0154
447.0	0.0156
448.0	0.0159
449.0	0.0162
450.0	0.0166
451.0	0.0168
452.0	0.0169
453.0	0.0172
454.0	0.0174
455.0	0.0177
456.0	0.018
457.0	0.0183
458.0	0.0186
459.0	0.0187
460.0	0.0189
461.0	0.019
462.0	0.0192
463.0	0.0193
464.0	0.0196
465.0	0.0199
466.0	0.0201
467.0	0.02
468.0	0.0203
469.0	0.0207
470.0	0.0209
471.0	0.0211
472.0	0.0212
473.0	0.0214
474.0	0.0218
475.0	0.0221
476.0	0.0223
477.0	0.0226
478.0	0.0228
479.0	0.0231
480.0	0.0236
481.0	0.0239
482.0	0.0244
483.0	0.0248
484.0	0.0251
485.0	0.0255
486.0	0.026
487.0	0.0266
488.0	0.0272
489.0	0.0276
490.0	0.0283
491.0	0.0291
492.0	0.0297
493.0	0.0307
494.0	0.0315
495.0	0.0323
496.0	0.0333
497.0	0.0345
498.0	0.0358
499.0	0.0371
500.0	0.0385
501.0	0.0401
502.0	0.0418
503.0	0.0435
504.0	0.0454
505.0	0.0475
506.0	0.05
507.0	0.0526
508.0	0.0555
509.0	0.0584
510.0	0.0615
511.0	0.0652
512.0	0.0692
513.0	0.0733
514.0	0.0777
515.0	0.0824
516.0	0.0874
517.0	0.0927
518.0	0.0983
519.0	0.1042
520.0	0.1103
521.0	0.1167
522.0	0.1233
523.0	0.1302
524.0	0.1372
525.0	0.1438
526.0	0.1507
527.0	0.1578
528.0	0.165
529.0	0.1721
530.0	0.1792
531.0	0.1863
532.0	0.1935
533.0	0.2008
534.0	0.208
535.0	0.2149
536.0	0.2217
537.0	0.2284
538.0	0.235
539.0	0.2414
540.0	0.2473
541.0	0.253
542.0	0.2585
543.0	0.2635
544.0	0.268
545.0	0.272
546.0	0.2756
547.0	0.2791
548.0	0.2826
549.0	0.2859
550.0	0.2892
551.0	0.2926
552.0	0.296
553.0	0.2992
554.0	0.3022
555.0	0.3048
556.0	0.3068
557.0	0.3084
558.0	0.31
559.0	0.3107
560.0	0.3106
561.0	0.3097
562.0	0.3083
563.0	0.3064
564.0	0.3037
565.0	0.3
566.0	0.2963
567.0	0.2925
568.0	0.2885
569.0	0.2844
570.0	0.2801
571.0	0.2757
572.0	0.2712
573.0	0.2668
574.0	0.2625
575.0	0.2581
576.0	0.2538
577.0	0.25
578.0	0.2467
579.0	0.2439
580.0	0.2418
581.0	0.24
582.0	0.2385
583.0	0.2376
584.0	0.2369
585.0	0.2363
586.0	0.2358
587.0	0.2357
588.0	0.2354
589.0	0.2349
590.0	0.2345
591.0	0.2343
592.0	0.2342
593.0	0.2341
594.0	0.2341
595.0	0.2344
596.0	0.2347
597.0	0.235
598.0	0.2354
599.0	0.2357
600.0	0.2356
601.0	0.2354
602.0	0.2348
603.0	0.2338
604.0	0.2325
605.0	0.2309
606.0	0.2293
607.0	0.2277
608.0	0.2257
609.0	0.2237
610.0	0.2216
611.0	0.2195
612.0	0.2173
613.0	0.2152
614.0	0.213
615.0	0.2109
616.0	0.2089
617.0	0.2071
618.0	0.2054
619.0	0.2039
620.0	0.2025
621.0	0.2015
622.0	0.2009
623.0	0.2001
624.0	0.1996
625.0	0.1994
626.0	0.1992
627.0	0.1994
628.0	0.1996
629.0	0.1998
630.0	0.2003
631.0	0.2007
