Bands	Reflectance
350.0	0.0212
351.0	0.022
352.0	0.0227
353.0	0.0238
354.0	0.0246
355.0	0.0254
356.0	0.0265
357.0	0.0272
358.0	0.028
359.0	0.029
360.0	0.0298
361.0	0.0307
362.0	0.0318
363.0	0.0329
364.0	0.0338
365.0	0.0349
366.0	0.0358
367.0	0.0363
368.0	0.037
369.0	0.0377
370.0	0.0382
371.0	0.0384
372.0	0.0388
373.0	0.0389
374.0	0.0389
375.0	0.0393
376.0	0.0393
377.0	0.0392
378.0	0.0392
379.0	0.0389
380.0	0.0386
381.0	0.0386
382.0	0.0388
383.0	0.0389
384.0	0.0392
385.0	0.0396
386.0	0.0399
387.0	0.0401
388.0	0.0406
389.0	0.0414
390.0	0.0421
391.0	0.0433
392.0	0.0448
393.0	0.0465
394.0	0.0485
395.0	0.0507
396.0	0.0535
397.0	0.057
398.0	0.0606
399.0	0.0647
400.0	0.0692
401.0	0.0739
402.0	0.0789
403.0	0.0834
404.0	0.0873
405.0	0.0914
406.0	0.0951
407.0	0.0986
408.0	0.1021
409.0	0.1055
410.0	0.1091
411.0	0.113
412.0	0.117
413.0	0.121
414.0	0.1252
415.0	0.1295
416.0	0.1334
417.0	0.1372
418.0	0.1411
419.0	0.1448
420.0	0.1481
421.0	0.1514
422.0	0.1548
423.0	0.158
424.0	0.1609
425.0	0.1631
426.0	0.1646
427.0	0.1662
428.0	0.1677
429.0	0.1696
430.0	0.1722
431.0	0.1752
432.0	0.1791
433.0	0.1839
434.0	0.1896
435.0	0.1957
436.0	0.2016
437.0	0.2071
438.0	0.2127
439.0	0.218
440.0	0.2227
441.0	0.227
442.0	0.2313
443.0	0.2357
444.0	0.2402
445.0	0.2445
446.0	0.2485
447.0	0.2521
448.0	0.2553
449.0	0.2585
450.0	0.2613
451.0	0.2636
452.0	0.2653
453.0	0.2668
454.0	0.2673
455.0	0.267
456.0	0.2668
457.0	0.2669
458.0	0.2674
459.0	0.2681
460.0	0.2683
461.0	0.2685
462.0	0.2684
463.0	0.268
464.0	0.2671
465.0	0.2658
466.0	0.2644
467.0	0.2631
468.0	0.2619
469.0	0.2613
470.0	0.2616
471.0	0.2618
472.0	0.2626
473.0	0.2638
474.0	0.2648
475.0	0.2658
476.0	0.2671
477.0	0.2687
478.0	0.2709
479.0	0.2728
