Bands	Reflectance
350.0	0.0165
351.0	0.0172
352.0	0.0178
353.0	0.0186
354.0	0.0193
355.0	0.02
356.0	0.0208
357.0	0.0214
358.0	0.0222
359.0	0.0228
360.0	0.0232
361.0	0.0239
362.0	0.0248
363.0	0.0256
364.0	0.0261
365.0	0.0272
366.0	0.0281
367.0	0.0283
368.0	0.0291
369.0	0.0297
370.0	0.0299
371.0	0.03
372.0	0.0303
373.0	0.0305
374.0	0.0306
375.0	0.0305
376.0	0.0304
377.0	0.0305
378.0	0.0307
379.0	0.0304
380.0	0.0302
381.0	0.0303
382.0	0.0304
383.0	0.0303
384.0	0.0307
385.0	0.0311
386.0	0.0311
387.0	0.0315
388.0	0.032
389.0	0.0326
390.0	0.0332
391.0	0.034
392.0	0.0352
393.0	0.0367
394.0	0.0381
395.0	0.0397
396.0	0.0418
397.0	0.0445
398.0	0.0472
399.0	0.0506
400.0	0.0545
401.0	0.0583
402.0	0.0619
403.0	0.0655
404.0	0.0688
405.0	0.0716
406.0	0.0746
407.0	0.0776
408.0	0.08
409.0	0.0826
410.0	0.0856
411.0	0.0888
412.0	0.0918
413.0	0.0949
414.0	0.0983
415.0	0.1017
416.0	0.1046
417.0	0.1077
418.0	0.1108
419.0	0.1137
420.0	0.1161
421.0	0.1189
422.0	0.122
423.0	0.1242
424.0	0.1263
425.0	0.1281
426.0	0.1295
427.0	0.1306
428.0	0.1318
429.0	0.1332
430.0	0.1351
431.0	0.1374
432.0	0.1405
433.0	0.1445
434.0	0.1491
435.0	0.1542
436.0	0.1588
437.0	0.1629
438.0	0.1673
439.0	0.1712
440.0	0.1748
441.0	0.1785
442.0	0.1821
443.0	0.1858
444.0	0.1894
445.0	0.1927
446.0	0.1956
447.0	0.1984
448.0	0.2011
449.0	0.2037
450.0	0.2061
451.0	0.2081
452.0	0.2095
453.0	0.2102
454.0	0.2105
455.0	0.2104
456.0	0.2103
457.0	0.2105
458.0	0.2108
459.0	0.211
460.0	0.2115
461.0	0.2117
462.0	0.2117
463.0	0.2113
464.0	0.2106
465.0	0.2095
466.0	0.2082
467.0	0.2073
468.0	0.2064
469.0	0.2059
470.0	0.206
471.0	0.206
472.0	0.2069
473.0	0.208
