Bands	Reflectance
350.0	0.0007
351.0	0.0008
352.0	0.0008
353.0	0.0006
354.0	0.0008
355.0	0.001
356.0	0.001
357.0	0.0008
358.0	0.0009
359.0	0.001
360.0	0.0009
361.0	0.0009
362.0	0.0011
363.0	0.0012
364.0	0.0012
365.0	0.0012
366.0	0.0012
367.0	0.0013
368.0	0.0015
369.0	0.0014
370.0	0.0013
371.0	0.0013
372.0	0.0014
373.0	0.0014
374.0	0.0014
375.0	0.0015
376.0	0.0012
377.0	0.0012
378.0	0.0015
379.0	0.0015
380.0	0.0015
381.0	0.0016
382.0	0.0017
383.0	0.0019
384.0	0.0017
385.0	0.0015
386.0	0.0018
387.0	0.0019
388.0	0.0018
389.0	0.0019
390.0	0.0023
391.0	0.0021
392.0	0.0019
393.0	0.0022
394.0	0.0022
395.0	0.0021
396.0	0.002
397.0	0.002
398.0	0.0023
399.0	0.0025
400.0	0.0025
401.0	0.0026
402.0	0.0027
403.0	0.0028
404.0	0.003
405.0	0.003
406.0	0.0033
407.0	0.0034
408.0	0.0034
409.0	0.0034
410.0	0.0036
411.0	0.0039
412.0	0.004
413.0	0.0042
414.0	0.0044
415.0	0.0045
416.0	0.0045
417.0	0.0047
418.0	0.005
419.0	0.0052
420.0	0.0054
421.0	0.0057
422.0	0.0059
423.0	0.0061
424.0	0.0062
425.0	0.0064
426.0	0.0067
427.0	0.0069
428.0	0.007
429.0	0.0072
430.0	0.0076
431.0	0.0079
432.0	0.0081
433.0	0.0082
434.0	0.0085
435.0	0.0087
436.0	0.0088
437.0	0.0089
438.0	0.0092
439.0	0.0094
440.0	0.0096
441.0	0.0101
442.0	0.0102
443.0	0.0102
444.0	0.0103
445.0	0.0106
446.0	0.0105
447.0	0.0107
448.0	0.0112
449.0	0.0115
450.0	0.0116
451.0	0.0116
452.0	0.0117
453.0	0.0118
454.0	0.0118
455.0	0.0119
456.0	0.0121
457.0	0.0124
458.0	0.0123
459.0	0.012
460.0	0.0122
461.0	0.0126
462.0	0.0127
463.0	0.0126
464.0	0.0129
465.0	0.0131
466.0	0.0131
467.0	0.0131
468.0	0.0132
469.0	0.0134
470.0	0.0137
471.0	0.0136
472.0	0.0137
473.0	0.0139
474.0	0.0141
475.0	0.0142
476.0	0.0143
477.0	0.0145
478.0	0.0144
479.0	0.0148
480.0	0.0153
481.0	0.0157
482.0	0.0155
483.0	0.0156
484.0	0.0159
485.0	0.0161
486.0	0.0165
487.0	0.0168
488.0	0.017
489.0	0.0172
490.0	0.0174
491.0	0.0178
492.0	0.0182
493.0	0.0185
494.0	0.0187
495.0	0.019
496.0	0.0196
497.0	0.02
498.0	0.0202
499.0	0.0205
500.0	0.0212
501.0	0.0219
502.0	0.0224
503.0	0.0228
504.0	0.0231
505.0	0.0238
506.0	0.0247
507.0	0.0254
508.0	0.0262
509.0	0.0269
510.0	0.0276
511.0	0.0286
512.0	0.0295
513.0	0.0304
514.0	0.0316
515.0	0.0324
516.0	0.0332
517.0	0.0343
518.0	0.0356
519.0	0.0367
520.0	0.0379
521.0	0.0395
522.0	0.0407
523.0	0.0419
524.0	0.0433
525.0	0.0448
526.0	0.0461
527.0	0.0474
528.0	0.0489
529.0	0.0505
530.0	0.0519
531.0	0.0533
532.0	0.055
533.0	0.0568
534.0	0.0584
535.0	0.0597
536.0	0.0614
537.0	0.0633
538.0	0.065
539.0	0.0664
540.0	0.0683
541.0	0.0698
542.0	0.071
543.0	0.0722
544.0	0.0737
545.0	0.0749
546.0	0.0758
547.0	0.0765
548.0	0.0777
549.0	0.0787
550.0	0.0791
551.0	0.0798
552.0	0.0805
553.0	0.0811
554.0	0.0819
555.0	0.0827
556.0	0.0836
557.0	0.0844
558.0	0.0848
559.0	0.0852
560.0	0.0856
561.0	0.0858
562.0	0.0857
563.0	0.0856
564.0	0.0855
565.0	0.0851
566.0	0.0844
567.0	0.0836
568.0	0.0832
569.0	0.0828
570.0	0.082
571.0	0.0811
572.0	0.0805
573.0	0.08
574.0	0.0794
575.0	0.0786
576.0	0.078
577.0	0.0775
578.0	0.0772
579.0	0.077
580.0	0.0769
581.0	0.0769
582.0	0.0771
583.0	0.0771
584.0	0.0774
585.0	0.0776
586.0	0.0777
587.0	0.0782
588.0	0.0786
589.0	0.0789
590.0	0.0793
591.0	0.0796
592.0	0.0798
593.0	0.08
594.0	0.0802
595.0	0.0807
596.0	0.0811
597.0	0.0812
598.0	0.0812
599.0	0.0815
600.0	0.0817
601.0	0.0814
602.0	0.0813
603.0	0.0813
604.0	0.0813
605.0	0.0809
606.0	0.0805
607.0	0.0803
608.0	0.0802
609.0	0.08
610.0	0.0797
611.0	0.0793
612.0	0.079
613.0	0.0786
614.0	0.0784
615.0	0.0784
616.0	0.0783
617.0	0.0781
618.0	0.078
619.0	0.078
620.0	0.078
621.0	0.0779
622.0	0.078
623.0	0.0781
624.0	0.0783
625.0	0.0784
626.0	0.0783
627.0	0.0785
628.0	0.0789
629.0	0.0795
630.0	0.0799
631.0	0.0802
632.0	0.0802
633.0	0.0802
634.0	0.0806
635.0	0.081
636.0	0.0812
637.0	0.0813
638.0	0.0812
639.0	0.0811
640.0	0.0811
641.0	0.0809
642.0	0.0807
643.0	0.0804
644.0	0.0803
645.0	0.0802
646.0	0.08
647.0	0.0799
648.0	0.08
649.0	0.0798
650.0	0.0796
651.0	0.0795
652.0	0.0797
653.0	0.0798
654.0	0.0798
655.0	0.0798
656.0	0.08
657.0	0.0803
658.0	0.0805
659.0	0.0805
660.0	0.0806
661.0	0.0808
