Bands	Reflectance
350.0	0.0208
351.0	0.0215
352.0	0.0222
353.0	0.0231
354.0	0.0237
355.0	0.0245
356.0	0.0255
357.0	0.0264
358.0	0.0272
359.0	0.0279
360.0	0.0288
361.0	0.0297
362.0	0.0308
363.0	0.0319
364.0	0.0326
365.0	0.0337
366.0	0.0346
367.0	0.0352
368.0	0.0359
369.0	0.0365
370.0	0.0369
371.0	0.0374
372.0	0.0375
373.0	0.0377
374.0	0.038
375.0	0.038
376.0	0.038
377.0	0.0379
378.0	0.0378
379.0	0.0373
380.0	0.0372
381.0	0.0373
382.0	0.0374
383.0	0.0376
384.0	0.038
385.0	0.0384
386.0	0.0386
387.0	0.039
388.0	0.0396
389.0	0.0405
390.0	0.0409
391.0	0.042
392.0	0.0434
393.0	0.0449
394.0	0.0469
395.0	0.0492
396.0	0.0518
397.0	0.0549
398.0	0.0586
399.0	0.0626
400.0	0.0668
401.0	0.0713
402.0	0.076
403.0	0.0804
404.0	0.0844
405.0	0.0884
406.0	0.0921
407.0	0.0955
408.0	0.099
409.0	0.1021
410.0	0.1054
411.0	0.1092
412.0	0.1129
413.0	0.1167
414.0	0.1208
415.0	0.1251
416.0	0.1289
417.0	0.1327
418.0	0.1364
419.0	0.1398
420.0	0.1431
421.0	0.1462
422.0	0.1494
423.0	0.1527
424.0	0.1553
425.0	0.1573
426.0	0.1588
427.0	0.1602
428.0	0.1617
429.0	0.1637
430.0	0.1663
431.0	0.1693
432.0	0.1729
433.0	0.1774
434.0	0.1828
435.0	0.1885
436.0	0.1941
437.0	0.1996
438.0	0.205
439.0	0.2101
440.0	0.2147
441.0	0.2188
442.0	0.2228
443.0	0.2268
444.0	0.231
445.0	0.2354
446.0	0.2393
447.0	0.2428
448.0	0.246
449.0	0.2488
450.0	0.2515
451.0	0.2538
452.0	0.2556
453.0	0.2571
454.0	0.2576
455.0	0.2573
456.0	0.2569
457.0	0.257
458.0	0.2573
459.0	0.2577
460.0	0.2584
461.0	0.2585
462.0	0.2582
463.0	0.2576
464.0	0.2569
465.0	0.2558
466.0	0.2546
467.0	0.2535
468.0	0.2522
469.0	0.2516
470.0	0.2519
471.0	0.2522
472.0	0.2529
473.0	0.2538
474.0	0.2548
475.0	0.2558
476.0	0.2571
477.0	0.2587
478.0	0.2604
479.0	0.2624
480.0	0.2644
481.0	0.2661
482.0	0.2669
483.0	0.266
484.0	0.2636
485.0	0.2607
486.0	0.2581
487.0	0.2566
488.0	0.2569
489.0	0.2596
490.0	0.264
491.0	0.2691
492.0	0.2741
493.0	0.2782
494.0	0.2815
495.0	0.2848
496.0	0.2887
497.0	0.2923
498.0	0.2952
499.0	0.2972
500.0	0.2987
501.0	0.3006
502.0	0.3032
503.0	0.307
504.0	0.3129
505.0	0.32
506.0	0.3277
507.0	0.3352
508.0	0.3423
509.0	0.3494
510.0	0.3568
511.0	0.3645
512.0	0.372
513.0	0.3794
514.0	0.3865
515.0	0.3909
516.0	0.3941
517.0	0.3984
518.0	0.4064
519.0	0.4194
520.0	0.4379
521.0	0.4604
522.0	0.4824
523.0	0.5033
524.0	0.5213
525.0	0.5353
526.0	0.5472
527.0	0.56
528.0	0.5766
529.0	0.5997
530.0	0.6253
531.0	0.6479
532.0	0.6638
533.0	0.6773
534.0	0.6925
535.0	0.7106
536.0	0.7304
537.0	0.7477
538.0	0.7605
539.0	0.7692
540.0	0.7768
541.0	0.7853
542.0	0.7968
543.0	0.8121
544.0	0.827
545.0	0.8401
546.0	0.8498
547.0	0.8554
548.0	0.8596
549.0	0.8643
550.0	0.87
551.0	0.8749
552.0	0.8782
553.0	0.8803
554.0	0.8822
555.0	0.8826
556.0	0.8789
557.0	0.87
558.0	0.8568
559.0	0.8454
560.0	0.8377
561.0	0.8334
562.0	0.8287
563.0	0.8216
564.0	0.811
565.0	0.7974
566.0	0.7834
567.0	0.7711
568.0	0.7602
569.0	0.747
570.0	0.731
571.0	0.7157
572.0	0.7062
573.0	0.7013
574.0	0.6945
575.0	0.6831
576.0	0.6699
577.0	0.6583
578.0	0.6487
579.0	0.6413
580.0	0.638
581.0	0.6382
582.0	0.6404
583.0	0.6422
584.0	0.6405
585.0	0.6351
586.0	0.6276
587.0	0.6225
588.0	0.6111
589.0	0.5952
590.0	0.5824
591.0	0.585
592.0	0.5913
593.0	0.5935
594.0	0.5909
595.0	0.588
596.0	0.5861
597.0	0.5849
598.0	0.5812
599.0	0.5769
600.0	0.572
601.0	0.5662
602.0	0.562
603.0	0.5608
604.0	0.5619
605.0	0.56
606.0	0.5555
607.0	0.5493
608.0	0.5425
609.0	0.5344
610.0	0.5269
611.0	0.5207
612.0	0.5152
613.0	0.5082
614.0	0.5011
615.0	0.4948
616.0	0.487
617.0	0.4819
618.0	0.4808
619.0	0.4831
620.0	0.4826
621.0	0.48
622.0	0.4757
623.0	0.4692
624.0	0.4631
625.0	0.4586
626.0	0.4562
627.0	0.454
628.0	0.45
629.0	0.4458
630.0	0.4448
631.0	0.4443
632.0	0.4449
633.0	0.4466
634.0	0.4473
635.0	0.4465
636.0	0.4451
637.0	0.4441
638.0	0.4436
639.0	0.4404
640.0	0.4341
641.0	0.4272
642.0	0.4231
643.0	0.4206
644.0	0.4175
645.0	0.4131
646.0	0.4082
647.0	0.4037
648.0	0.4004
649.0	0.3953
650.0	0.3923
651.0	0.3931
652.0	0.3946
653.0	0.3953
654.0	0.3918
655.0	0.3815
656.0	0.3611
657.0	0.3549
658.0	0.3656
659.0	0.3783
660.0	0.3833
661.0	0.3842
662.0	0.3846
663.0	0.3826
664.0	0.3803
665.0	0.3788
666.0	0.3785
667.0	0.3768
668.0	0.376
669.0	0.3761
670.0	0.375
671.0	0.3733
672.0	0.3724
673.0	0.3731
674.0	0.3745
675.0	0.3753
676.0	0.376
677.0	0.3776
678.0	0.379
679.0	0.3804
680.0	0.3819
681.0	0.384
682.0	0.3867
683.0	0.3893
684.0	0.3908
