Bands	Reflectance
350.0	0.0011
351.0	0.0011
352.0	0.0011
353.0	0.0012
354.0	0.0012
355.0	0.0013
356.0	0.0014
357.0	0.0014
358.0	0.0014
359.0	0.0015
360.0	0.0016
361.0	0.0017
362.0	0.0017
363.0	0.0017
364.0	0.0017
365.0	0.0018
366.0	0.0019
367.0	0.0018
368.0	0.0018
369.0	0.0019
370.0	0.002
371.0	0.0022
372.0	0.0022
373.0	0.0021
374.0	0.002
375.0	0.0021
376.0	0.0023
377.0	0.0023
378.0	0.0022
379.0	0.0023
380.0	0.0023
381.0	0.0022
382.0	0.0023
383.0	0.0024
384.0	0.0024
385.0	0.0023
386.0	0.0026
387.0	0.0028
388.0	0.0028
389.0	0.0027
390.0	0.0027
391.0	0.0029
392.0	0.003
393.0	0.003
394.0	0.0031
395.0	0.0032
396.0	0.0034
397.0	0.0036
398.0	0.0037
399.0	0.0038
400.0	0.004
401.0	0.0042
402.0	0.0043
403.0	0.0044
404.0	0.0048
405.0	0.005
406.0	0.0052
407.0	0.0053
408.0	0.0056
409.0	0.006
410.0	0.0063
411.0	0.0065
412.0	0.007
413.0	0.0073
414.0	0.0076
415.0	0.0079
416.0	0.0083
417.0	0.0087
418.0	0.0093
419.0	0.0099
420.0	0.0102
421.0	0.0104
422.0	0.0109
423.0	0.0116
424.0	0.0121
425.0	0.0126
426.0	0.0131
427.0	0.0136
428.0	0.0142
429.0	0.0147
430.0	0.0152
431.0	0.0158
432.0	0.0163
433.0	0.0167
434.0	0.0172
435.0	0.0176
436.0	0.0181
437.0	0.0187
438.0	0.019
439.0	0.0196
440.0	0.0202
441.0	0.0207
442.0	0.021
443.0	0.0214
444.0	0.0219
445.0	0.0223
446.0	0.0228
447.0	0.0232
448.0	0.0237
449.0	0.0241
450.0	0.0246
451.0	0.025
452.0	0.0253
453.0	0.0256
454.0	0.026
455.0	0.0265
456.0	0.0269
457.0	0.0274
458.0	0.0277
459.0	0.0282
460.0	0.0285
461.0	0.0287
462.0	0.029
463.0	0.0294
464.0	0.0299
465.0	0.0303
466.0	0.0307
467.0	0.0309
468.0	0.0314
469.0	0.0319
470.0	0.0323
471.0	0.0325
472.0	0.0329
473.0	0.0333
474.0	0.0338
475.0	0.0342
476.0	0.0346
477.0	0.035
478.0	0.0354
479.0	0.0359
480.0	0.0366
481.0	0.0372
482.0	0.0378
483.0	0.0385
484.0	0.0391
485.0	0.0397
486.0	0.0405
487.0	0.0415
488.0	0.0424
489.0	0.0432
490.0	0.0443
491.0	0.0456
492.0	0.0468
493.0	0.0482
494.0	0.0496
495.0	0.051
496.0	0.0526
497.0	0.0545
498.0	0.0565
499.0	0.0586
500.0	0.0608
501.0	0.0633
502.0	0.0659
503.0	0.0685
504.0	0.0716
505.0	0.0749
506.0	0.0785
507.0	0.0823
508.0	0.0863
509.0	0.0906
510.0	0.095
511.0	0.1002
512.0	0.1056
513.0	0.1112
514.0	0.117
515.0	0.1233
516.0	0.13
517.0	0.137
518.0	0.1441
519.0	0.1517
520.0	0.1595
521.0	0.1675
522.0	0.1757
523.0	0.1843
524.0	0.1931
525.0	0.2015
526.0	0.2102
527.0	0.2191
528.0	0.2282
529.0	0.2373
530.0	0.2463
531.0	0.2556
532.0	0.265
533.0	0.2745
534.0	0.2841
535.0	0.2935
536.0	0.3027
537.0	0.3121
538.0	0.3213
539.0	0.33
540.0	0.3385
541.0	0.3465
542.0	0.3542
543.0	0.3616
544.0	0.3682
545.0	0.3741
546.0	0.3794
547.0	0.3846
548.0	0.3896
549.0	0.3946
550.0	0.3993
551.0	0.4043
552.0	0.4096
553.0	0.4147
554.0	0.4195
555.0	0.4237
556.0	0.4274
557.0	0.4307
558.0	0.4342
559.0	0.4366
560.0	0.4378
561.0	0.4383
562.0	0.4384
563.0	0.4377
564.0	0.4359
565.0	0.433
566.0	0.4301
567.0	0.427
568.0	0.4239
569.0	0.4208
570.0	0.4173
571.0	0.4134
572.0	0.4093
573.0	0.4047
574.0	0.3999
575.0	0.3951
576.0	0.3902
577.0	0.3859
578.0	0.3823
579.0	0.3795
580.0	0.3777
581.0	0.3765
582.0	0.3758
583.0	0.376
584.0	0.3767
585.0	0.3775
586.0	0.3784
587.0	0.3799
588.0	0.3811
589.0	0.382
590.0	0.383
591.0	0.3839
592.0	0.3847
593.0	0.3856
594.0	0.3866
595.0	0.3877
596.0	0.3888
597.0	0.3898
598.0	0.391
599.0	0.392
600.0	0.3926
601.0	0.3928
602.0	0.3923
603.0	0.3913
604.0	0.39
605.0	0.3884
606.0	0.3867
607.0	0.3848
608.0	0.3827
609.0	0.3804
610.0	0.3779
611.0	0.3755
612.0	0.3728
613.0	0.3705
614.0	0.3682
615.0	0.3656
616.0	0.3632
617.0	0.3612
618.0	0.3594
619.0	0.3576
620.0	0.3562
621.0	0.3553
622.0	0.3547
623.0	0.3541
624.0	0.3537
625.0	0.3536
626.0	0.3541
627.0	0.3547
628.0	0.3554
629.0	0.3562
630.0	0.3572
631.0	0.3583
632.0	0.3592
633.0	0.3597
634.0	0.3605
635.0	0.361
636.0	0.3609
637.0	0.3604
638.0	0.3596
639.0	0.3583
640.0	0.3567
641.0	0.3549
642.0	0.3529
643.0	0.3505
644.0	0.3479
645.0	0.3449
646.0	0.342
647.0	0.3389
648.0	0.3359
649.0	0.3331
650.0	0.3306
651.0	0.3283
652.0	0.3264
653.0	0.3245
654.0	0.3225
655.0	0.3202
656.0	0.3175
657.0	0.3143
658.0	0.3106
659.0	0.3066
660.0	0.3023
661.0	0.2978
662.0	0.2931
663.0	0.2886
664.0	0.2842
665.0	0.28
666.0	0.2764
667.0	0.2732
668.0	0.2707
669.0	0.2687
670.0	0.2672
671.0	0.2663
672.0	0.266
673.0	0.2664
674.0	0.267
675.0	0.2681
676.0	0.2697
677.0	0.2717
678.0	0.2744
679.0	0.2777
680.0	0.2817
681.0	0.2868
682.0	0.2929
683.0	0.3003
684.0	0.3094
685.0	0.3204
686.0	0.3339
687.0	0.35
688.0	0.3683
689.0	0.3894
690.0	0.4135
691.0	0.4404
692.0	0.4707
693.0	0.5037
694.0	0.5397
695.0	0.5785
696.0	0.6197
697.0	0.6631
698.0	0.7082
699.0	0.7547
700.0	0.8023
701.0	0.8506
702.0	0.8988
703.0	0.9462
704.0	0.993
705.0	1.0389
706.0	1.0837
707.0	1.128
708.0	1.1708
709.0	1.2124
710.0	1.2534
711.0	1.2929
712.0	1.3312
713.0	1.3686
714.0	1.4051
715.0	1.4404
716.0	1.4746
717.0	1.5076
718.0	1.5401
719.0	1.5715
720.0	1.6018
721.0	1.6311
722.0	1.6593
723.0	1.6862
724.0	1.7119
725.0	1.7371
726.0	1.7608
727.0	1.7836
728.0	1.8058
729.0	1.8262
730.0	1.846
731.0	1.8651
732.0	1.8827
733.0	1.9
734.0	1.9171
735.0	1.9335
736.0	1.9487
737.0	1.9628
738.0	1.976
739.0	1.9884
740.0	2.0011
741.0	2.0127
742.0	2.0235
743.0	2.0346
744.0	2.0443
745.0	2.0536
746.0	2.0625
747.0	2.0705
748.0	2.0786
749.0	2.086
750.0	2.0923
751.0	2.0995
752.0	2.1057
753.0	2.111
754.0	2.1163
755.0	2.1206
756.0	2.1245
757.0	2.1281
758.0	2.1317
759.0	2.1352
760.0	2.1382
761.0	2.1405
762.0	2.1425
763.0	2.1446
764.0	2.1464
765.0	2.1477
766.0	2.149
767.0	2.1496
768.0	2.1496
769.0	2.1498
770.0	2.1492
771.0	2.1484
772.0	2.1478
773.0	2.1466
774.0	2.1452
775.0	2.1433
776.0	2.1411
777.0	2.1389
778.0	2.1365
779.0	2.1337
780.0	2.1306
781.0	2.1267
782.0	2.1227
783.0	2.1186
784.0	2.1144
785.0	2.1099
786.0	2.1054
787.0	2.1008
788.0	2.0959
789.0	2.0909
790.0	2.0855
791.0	2.0797
792.0	2.0747
793.0	2.0692
794.0	2.0632
795.0	2.0572
796.0	2.0503
797.0	2.0434
798.0	2.0366
799.0	2.0293
800.0	2.0223
801.0	2.0153
802.0	2.008
803.0	2.0008
804.0	1.9934
805.0	1.9857
806.0	1.9775
807.0	1.9697
808.0	1.9615
809.0	1.953
810.0	1.9446
811.0	1.9358
812.0	1.927
813.0	1.9182
814.0	1.9091
815.0	1.9005
816.0	1.8919
817.0	1.883
818.0	1.8739
819.0	1.8644
820.0	1.855
821.0	1.846
822.0	1.8365
823.0	1.8268
824.0	1.8173
825.0	1.8083
826.0	1.7981
827.0	1.7882
828.0	1.7787
829.0	1.7688
830.0	1.7597
831.0	1.7503
832.0	1.7407
833.0	1.7318
834.0	1.7221
835.0	1.7125
836.0	1.7034
837.0	1.6934
838.0	1.6837
839.0	1.6741
840.0	1.6645
841.0	1.6552
842.0	1.6457
843.0	1.6361
844.0	1.627
845.0	1.6179
846.0	1.6088
847.0	1.5996
848.0	1.5903
849.0	1.5814
850.0	1.5727
851.0	1.5641
852.0	1.5555
853.0	1.5469
854.0	1.5379
855.0	1.5289
856.0	1.5207
857.0	1.5118
858.0	1.5025
859.0	1.4934
860.0	1.4844
861.0	1.4753
862.0	1.4661
863.0	1.4568
864.0	1.4476
865.0	1.4388
866.0	1.4297
867.0	1.42
868.0	1.4107
869.0	1.4009
870.0	1.3912
871.0	1.3823
872.0	1.3728
873.0	1.3634
874.0	1.3539
875.0	1.3442
876.0	1.3349
877.0	1.3251
878.0	1.315
879.0	1.3053
880.0	1.2956
881.0	1.286
882.0	1.2764
883.0	1.2664
884.0	1.2567
885.0	1.247
886.0	1.2374
887.0	1.2284
888.0	1.2184
889.0	1.2084
890.0	1.199
891.0	1.1896
892.0	1.1798
893.0	1.1702
894.0	1.1609
895.0	1.1513
896.0	1.1414
897.0	1.1314
898.0	1.1213
899.0	1.1117
900.0	1.1019
901.0	1.0922
902.0	1.0827
903.0	1.0728
904.0	1.0632
905.0	1.0536
906.0	1.0439
907.0	1.034
908.0	1.024
909.0	1.0135
910.0	1.0029
911.0	0.9935
912.0	0.9848
913.0	0.9756
914.0	0.9656
915.0	0.9558
916.0	0.9465
917.0	0.9372
918.0	0.9274
919.0	0.9178
920.0	0.908
921.0	0.8982
922.0	0.8887
923.0	0.8792
924.0	0.8698
925.0	0.8602
926.0	0.8506
927.0	0.841
928.0	0.8311
929.0	0.8211
930.0	0.8114
931.0	0.8014
932.0	0.7914
933.0	0.7817
934.0	0.7721
935.0	0.7626
936.0	0.7533
937.0	0.7439
938.0	0.7344
939.0	0.7251
940.0	0.7158
941.0	0.7065
942.0	0.6972
943.0	0.6882
944.0	0.6791
945.0	0.67
946.0	0.661
947.0	0.652
948.0	0.643
949.0	0.634
950.0	0.6252
951.0	0.6163
952.0	0.6073
953.0	0.5984
954.0	0.5898
955.0	0.5812
956.0	0.5728
957.0	0.5645
958.0	0.5564
959.0	0.5486
960.0	0.5407
961.0	0.5331
962.0	0.5256
963.0	0.5179
964.0	0.5104
965.0	0.5033
966.0	0.4963
967.0	0.4891
968.0	0.4819
969.0	0.475
970.0	0.4682
971.0	0.4613
972.0	0.4544
973.0	0.4477
974.0	0.4411
975.0	0.4344
976.0	0.4279
977.0	0.4213
978.0	0.4148
979.0	0.4086
980.0	0.4024
981.0	0.3962
982.0	0.39
983.0	0.3838
984.0	0.3779
985.0	0.3719
986.0	0.3659
987.0	0.3599
