Bands	Reflectance
350.0	0.0007
351.0	0.001
352.0	0.0013
353.0	0.0009
354.0	0.0008
355.0	0.001
356.0	0.0011
357.0	0.001
358.0	0.001
359.0	0.0011
360.0	0.0011
361.0	0.0011
362.0	0.0012
363.0	0.0013
364.0	0.0014
365.0	0.0013
366.0	0.0012
367.0	0.0014
368.0	0.0014
369.0	0.0014
370.0	0.0015
371.0	0.0015
372.0	0.0015
373.0	0.0014
374.0	0.0014
375.0	0.0015
376.0	0.0015
377.0	0.0015
378.0	0.0016
379.0	0.0018
380.0	0.0016
381.0	0.0014
382.0	0.0017
383.0	0.002
384.0	0.0019
385.0	0.0018
386.0	0.0019
387.0	0.0021
388.0	0.0022
389.0	0.0022
390.0	0.0022
391.0	0.0022
392.0	0.0022
393.0	0.0022
394.0	0.0024
395.0	0.0026
396.0	0.0027
397.0	0.0026
398.0	0.0027
399.0	0.003
400.0	0.0032
401.0	0.003
402.0	0.003
403.0	0.0032
404.0	0.0034
405.0	0.0034
406.0	0.0035
407.0	0.0037
408.0	0.0041
409.0	0.0041
410.0	0.0042
411.0	0.0046
412.0	0.0046
413.0	0.0046
414.0	0.0047
415.0	0.005
416.0	0.0051
417.0	0.0054
418.0	0.0058
419.0	0.0061
420.0	0.0061
421.0	0.0062
422.0	0.0066
423.0	0.007
424.0	0.0071
425.0	0.0074
426.0	0.0077
427.0	0.0078
428.0	0.008
429.0	0.0083
430.0	0.0086
431.0	0.0089
432.0	0.0091
433.0	0.0092
434.0	0.0095
435.0	0.0098
436.0	0.0101
437.0	0.0104
438.0	0.0105
439.0	0.0107
440.0	0.011
441.0	0.0112
442.0	0.0114
443.0	0.0115
444.0	0.0116
445.0	0.0116
446.0	0.0118
447.0	0.0123
448.0	0.0127
449.0	0.0126
450.0	0.0127
451.0	0.0128
452.0	0.0129
453.0	0.0132
454.0	0.0133
455.0	0.0134
456.0	0.0137
457.0	0.0139
458.0	0.014
459.0	0.0141
460.0	0.0142
461.0	0.0141
462.0	0.0142
463.0	0.0144
464.0	0.0144
465.0	0.0147
466.0	0.015
467.0	0.015
468.0	0.0149
469.0	0.0149
470.0	0.0152
471.0	0.0156
472.0	0.0159
473.0	0.0161
474.0	0.0163
475.0	0.0163
476.0	0.0163
477.0	0.0164
478.0	0.0167
479.0	0.0169
480.0	0.0171
481.0	0.0174
482.0	0.0177
483.0	0.0179
484.0	0.0182
485.0	0.0186
486.0	0.0187
487.0	0.0189
488.0	0.0193
489.0	0.0196
490.0	0.02
491.0	0.0204
492.0	0.0205
493.0	0.021
494.0	0.0213
495.0	0.0217
496.0	0.0224
497.0	0.0228
498.0	0.0232
499.0	0.024
500.0	0.0244
501.0	0.025
502.0	0.0257
503.0	0.0263
504.0	0.0267
505.0	0.0274
506.0	0.0282
507.0	0.0289
508.0	0.0296
509.0	0.0306
510.0	0.0317
511.0	0.0327
512.0	0.0337
513.0	0.0347
514.0	0.0358
515.0	0.0368
516.0	0.0381
517.0	0.0394
518.0	0.0409
519.0	0.0424
520.0	0.0437
521.0	0.0449
522.0	0.0467
523.0	0.0482
524.0	0.0494
525.0	0.0508
526.0	0.0524
527.0	0.0541
528.0	0.0556
529.0	0.0569
530.0	0.0586
531.0	0.0604
532.0	0.0621
533.0	0.0637
534.0	0.0654
535.0	0.0671
536.0	0.0688
537.0	0.0705
538.0	0.0723
539.0	0.0742
540.0	0.0757
541.0	0.0772
542.0	0.0788
543.0	0.0804
544.0	0.0818
545.0	0.0828
546.0	0.0836
547.0	0.0845
548.0	0.0856
549.0	0.0866
550.0	0.087
551.0	0.0876
552.0	0.0883
553.0	0.0892
554.0	0.0901
555.0	0.091
556.0	0.0917
557.0	0.0922
558.0	0.0929
559.0	0.0935
560.0	0.0938
561.0	0.0937
562.0	0.0938
563.0	0.0935
564.0	0.093
565.0	0.0922
566.0	0.0917
567.0	0.091
568.0	0.0901
569.0	0.0894
570.0	0.0887
571.0	0.0879
572.0	0.0869
573.0	0.0861
574.0	0.0854
575.0	0.0849
576.0	0.0843
577.0	0.0836
578.0	0.083
579.0	0.0826
580.0	0.0826
581.0	0.0825
582.0	0.0824
583.0	0.0828
584.0	0.0831
585.0	0.0835
586.0	0.0839
587.0	0.0842
588.0	0.0844
589.0	0.0848
590.0	0.0853
591.0	0.0855
592.0	0.0856
593.0	0.0858
594.0	0.0862
595.0	0.0865
596.0	0.0868
597.0	0.0871
598.0	0.0872
599.0	0.0876
600.0	0.0879
601.0	0.0879
602.0	0.0878
603.0	0.0876
604.0	0.0873
605.0	0.0872
606.0	0.0871
607.0	0.087
608.0	0.0868
609.0	0.0863
610.0	0.0859
611.0	0.0856
612.0	0.0855
613.0	0.0855
614.0	0.0855
615.0	0.0854
616.0	0.0851
617.0	0.0849
618.0	0.0849
619.0	0.085
620.0	0.0849
621.0	0.0849
622.0	0.0851
623.0	0.0851
624.0	0.0854
625.0	0.0857
626.0	0.086
627.0	0.0863
628.0	0.0865
629.0	0.0866
630.0	0.0869
631.0	0.0874
632.0	0.0877
633.0	0.0878
634.0	0.0881
635.0	0.0883
636.0	0.0885
637.0	0.0886
638.0	0.0887
639.0	0.0888
