Bands	Reflectance
350.0	0.0011
351.0	0.0011
352.0	0.001
353.0	0.0011
354.0	0.0011
355.0	0.0011
356.0	0.0013
357.0	0.0013
358.0	0.0013
359.0	0.0014
360.0	0.0014
361.0	0.0015
362.0	0.0015
363.0	0.0016
364.0	0.0016
365.0	0.0015
366.0	0.0015
367.0	0.0017
368.0	0.0017
369.0	0.0017
370.0	0.0017
371.0	0.0017
372.0	0.0017
373.0	0.0018
374.0	0.0019
375.0	0.002
376.0	0.0021
377.0	0.0021
378.0	0.002
379.0	0.002
380.0	0.002
381.0	0.002
382.0	0.0021
383.0	0.0023
384.0	0.0023
385.0	0.0022
386.0	0.0023
387.0	0.0023
388.0	0.0024
389.0	0.0024
390.0	0.0026
391.0	0.0028
392.0	0.0028
393.0	0.0027
394.0	0.0027
395.0	0.0029
396.0	0.0031
397.0	0.0034
398.0	0.0034
399.0	0.0034
400.0	0.0035
401.0	0.0037
402.0	0.0037
403.0	0.0039
404.0	0.0042
405.0	0.0042
406.0	0.0042
407.0	0.0043
408.0	0.0046
409.0	0.0049
410.0	0.0051
411.0	0.0053
412.0	0.0056
413.0	0.0058
414.0	0.006
415.0	0.0062
416.0	0.0064
417.0	0.0067
418.0	0.007
419.0	0.0073
420.0	0.0075
421.0	0.0077
422.0	0.0081
423.0	0.0085
424.0	0.0089
425.0	0.0091
426.0	0.0094
427.0	0.0096
428.0	0.0099
429.0	0.0102
430.0	0.0105
431.0	0.0107
432.0	0.011
433.0	0.0114
434.0	0.0117
435.0	0.0119
436.0	0.0121
437.0	0.0125
438.0	0.0128
439.0	0.013
440.0	0.0131
441.0	0.0134
442.0	0.0136
443.0	0.0139
444.0	0.0141
445.0	0.0143
446.0	0.0144
447.0	0.0146
448.0	0.0149
449.0	0.0151
450.0	0.0152
451.0	0.0154
452.0	0.0156
453.0	0.0159
454.0	0.0161
455.0	0.0162
456.0	0.0163
457.0	0.0164
458.0	0.0165
459.0	0.0167
460.0	0.0169
461.0	0.017
462.0	0.0172
463.0	0.0173
464.0	0.0174
465.0	0.0175
466.0	0.0177
467.0	0.018
468.0	0.0181
469.0	0.0183
470.0	0.0184
471.0	0.0186
472.0	0.0188
473.0	0.019
474.0	0.0191
475.0	0.0194
476.0	0.0197
477.0	0.0199
478.0	0.02
479.0	0.0203
480.0	0.0206
481.0	0.0207
482.0	0.0211
483.0	0.0214
484.0	0.0217
485.0	0.0221
486.0	0.0225
487.0	0.0227
488.0	0.023
489.0	0.0237
490.0	0.024
491.0	0.0244
492.0	0.0251
493.0	0.0257
494.0	0.0261
495.0	0.0267
496.0	0.0274
497.0	0.0281
498.0	0.0288
499.0	0.0295
500.0	0.0305
501.0	0.0314
502.0	0.0323
503.0	0.0335
504.0	0.0346
505.0	0.0358
506.0	0.0372
507.0	0.0388
508.0	0.0404
509.0	0.0421
510.0	0.0439
511.0	0.0462
512.0	0.0485
513.0	0.0508
514.0	0.0533
515.0	0.0562
516.0	0.0593
517.0	0.0625
518.0	0.066
519.0	0.0695
520.0	0.0733
521.0	0.0773
522.0	0.0814
523.0	0.0857
524.0	0.0899
525.0	0.0942
526.0	0.0987
527.0	0.1032
528.0	0.1078
529.0	0.1126
530.0	0.1173
531.0	0.1221
532.0	0.1269
533.0	0.1317
534.0	0.1366
535.0	0.1414
536.0	0.146
537.0	0.1504
538.0	0.1548
539.0	0.159
540.0	0.1628
541.0	0.1667
542.0	0.1704
543.0	0.1737
544.0	0.1766
545.0	0.1793
546.0	0.1817
547.0	0.1838
548.0	0.1861
549.0	0.1885
550.0	0.1907
551.0	0.1932
552.0	0.1958
553.0	0.1983
554.0	0.2006
555.0	0.2022
556.0	0.2034
557.0	0.2046
558.0	0.2055
559.0	0.206
560.0	0.2059
561.0	0.2054
562.0	0.2048
563.0	0.2037
564.0	0.202
565.0	0.1996
566.0	0.1971
567.0	0.1946
568.0	0.1922
569.0	0.1896
570.0	0.1871
571.0	0.1845
572.0	0.1819
573.0	0.1793
574.0	0.1765
575.0	0.1736
576.0	0.1705
577.0	0.1677
578.0	0.1654
579.0	0.1637
580.0	0.1624
581.0	0.1612
582.0	0.1604
583.0	0.1602
584.0	0.1598
585.0	0.1592
586.0	0.1588
587.0	0.1583
588.0	0.1578
589.0	0.1572
590.0	0.1567
591.0	0.1562
592.0	0.1558
593.0	0.1555
594.0	0.1554
595.0	0.1555
596.0	0.1557
597.0	0.1558
598.0	0.156
599.0	0.1562
600.0	0.1562
601.0	0.1562
602.0	0.1558
603.0	0.1552
604.0	0.1543
605.0	0.1533
606.0	0.1523
607.0	0.1512
608.0	0.15
609.0	0.1486
610.0	0.1473
611.0	0.1459
612.0	0.1445
613.0	0.1432
614.0	0.142
615.0	0.1406
616.0	0.1393
617.0	0.1381
618.0	0.137
619.0	0.1362
620.0	0.1355
621.0	0.1349
622.0	0.1344
623.0	0.134
624.0	0.1336
625.0	0.1333
626.0	0.1335
627.0	0.1336
628.0	0.1336
629.0	0.1337
630.0	0.1339
631.0	0.1341
632.0	0.1341
633.0	0.1339
634.0	0.1339
635.0	0.1336
636.0	0.1329
637.0	0.132
638.0	0.1309
639.0	0.1296
640.0	0.1282
641.0	0.1266
642.0	0.125
643.0	0.1235
644.0	0.122
645.0	0.1203
646.0	0.1189
647.0	0.1177
648.0	0.1164
649.0	0.1154
650.0	0.1147
651.0	0.1141
652.0	0.1138
653.0	0.1136
654.0	0.1134
655.0	0.113
656.0	0.1127
657.0	0.1122
658.0	0.1117
659.0	0.1113
660.0	0.1108
661.0	0.1102
662.0	0.1096
663.0	0.1092
664.0	0.1088
665.0	0.1085
666.0	0.1085
667.0	0.1084
668.0	0.1085
669.0	0.1089
670.0	0.1094
671.0	0.11
672.0	0.1108
673.0	0.1119
674.0	0.1129
675.0	0.114
676.0	0.1154
677.0	0.1168
678.0	0.1184
679.0	0.1201
680.0	0.1221
681.0	0.124
682.0	0.1263
683.0	0.129
684.0	0.1317
685.0	0.1351
686.0	0.1393
687.0	0.1442
688.0	0.1501
689.0	0.1575
690.0	0.1665
691.0	0.1775
692.0	0.1912
693.0	0.2076
694.0	0.2267
695.0	0.249
696.0	0.2746
697.0	0.3031
698.0	0.3344
699.0	0.3687
700.0	0.4053
701.0	0.4441
702.0	0.4843
703.0	0.5252
704.0	0.5668
705.0	0.6087
706.0	0.6506
707.0	0.6925
708.0	0.7337
709.0	0.7743
710.0	0.8146
711.0	0.854
712.0	0.8927
713.0	0.9306
714.0	0.9675
715.0	1.0037
716.0	1.0389
717.0	1.0729
718.0	1.1062
719.0	1.1385
720.0	1.1699
721.0	1.2
722.0	1.229
723.0	1.2568
724.0	1.2835
725.0	1.3097
726.0	1.3344
727.0	1.358
728.0	1.3808
729.0	1.402
730.0	1.4225
731.0	1.442
732.0	1.4601
733.0	1.4781
734.0	1.4956
735.0	1.5122
736.0	1.5277
737.0	1.5422
738.0	1.5558
739.0	1.5687
740.0	1.5813
741.0	1.5931
742.0	1.6042
743.0	1.6154
744.0	1.6253
745.0	1.6348
746.0	1.644
747.0	1.652
748.0	1.6598
749.0	1.6671
750.0	1.6735
751.0	1.6803
752.0	1.6864
753.0	1.692
754.0	1.6973
755.0	1.7018
756.0	1.7058
757.0	1.7097
758.0	1.7131
759.0	1.7165
760.0	1.7195
761.0	1.7219
762.0	1.724
763.0	1.7262
764.0	1.728
765.0	1.7292
766.0	1.7304
767.0	1.7313
768.0	1.7318
769.0	1.7321
770.0	1.7319
771.0	1.7317
772.0	1.7316
773.0	1.7308
774.0	1.7298
775.0	1.7284
776.0	1.7268
777.0	1.7249
778.0	1.7232
779.0	1.7213
780.0	1.7189
781.0	1.7158
782.0	1.7125
783.0	1.7093
784.0	1.7061
785.0	1.7025
786.0	1.6988
787.0	1.6953
788.0	1.6912
789.0	1.687
790.0	1.6828
791.0	1.6782
792.0	1.674
793.0	1.6694
794.0	1.6646
795.0	1.6597
796.0	1.6539
797.0	1.6483
798.0	1.6428
799.0	1.6369
800.0	1.6311
801.0	1.6251
802.0	1.6188
803.0	1.6131
804.0	1.607
805.0	1.6006
806.0	1.5942
807.0	1.5879
808.0	1.5812
809.0	1.5741
810.0	1.5671
811.0	1.5598
812.0	1.5527
813.0	1.5456
814.0	1.538
815.0	1.531
816.0	1.5242
817.0	1.5171
818.0	1.5095
819.0	1.5018
820.0	1.4943
821.0	1.4868
822.0	1.4789
823.0	1.4711
824.0	1.4636
825.0	1.4563
826.0	1.4483
827.0	1.4405
828.0	1.4329
829.0	1.425
830.0	1.4177
831.0	1.4102
832.0	1.4024
833.0	1.3954
834.0	1.3875
835.0	1.3798
836.0	1.3727
837.0	1.3646
838.0	1.3569
839.0	1.3495
840.0	1.342
841.0	1.335
842.0	1.3275
843.0	1.3199
844.0	1.3128
845.0	1.3054
846.0	1.2983
847.0	1.2912
848.0	1.2841
849.0	1.2772
850.0	1.2704
851.0	1.2636
852.0	1.2569
853.0	1.25
854.0	1.243
855.0	1.2361
856.0	1.2295
857.0	1.2225
858.0	1.2156
859.0	1.2087
860.0	1.2014
861.0	1.1943
862.0	1.1872
863.0	1.1799
864.0	1.1727
865.0	1.1658
866.0	1.1587
867.0	1.1511
868.0	1.1435
869.0	1.1358
870.0	1.1283
871.0	1.1213
872.0	1.1138
873.0	1.1063
874.0	1.0987
875.0	1.0911
876.0	1.0838
877.0	1.0759
878.0	1.0679
879.0	1.0605
880.0	1.0525
881.0	1.0447
882.0	1.0371
883.0	1.0292
884.0	1.0215
885.0	1.0137
886.0	1.006
887.0	0.9987
888.0	0.991
889.0	0.9831
890.0	0.9753
891.0	0.9675
892.0	0.96
893.0	0.9524
894.0	0.9447
895.0	0.9369
896.0	0.9289
897.0	0.9208
898.0	0.9128
899.0	0.9049
900.0	0.897
901.0	0.8891
902.0	0.8811
903.0	0.8733
904.0	0.8655
905.0	0.8577
906.0	0.8498
907.0	0.8422
908.0	0.8341
909.0	0.8255
910.0	0.8169
911.0	0.8094
912.0	0.8023
913.0	0.7949
914.0	0.7868
915.0	0.7787
916.0	0.771
917.0	0.7634
918.0	0.7557
919.0	0.7481
920.0	0.7401
921.0	0.7321
922.0	0.7245
923.0	0.7166
924.0	0.7089
925.0	0.7012
926.0	0.6934
927.0	0.6855
928.0	0.6775
929.0	0.6695
930.0	0.6617
931.0	0.6536
932.0	0.6455
933.0	0.6377
934.0	0.6298
935.0	0.6221
936.0	0.6144
937.0	0.6067
938.0	0.5991
939.0	0.5916
940.0	0.584
941.0	0.5764
942.0	0.5691
943.0	0.5619
944.0	0.5546
945.0	0.5472
946.0	0.5398
947.0	0.5325
948.0	0.5253
949.0	0.5181
950.0	0.5109
951.0	0.5037
952.0	0.4967
953.0	0.4895
954.0	0.4822
955.0	0.4754
956.0	0.4687
957.0	0.462
958.0	0.4554
959.0	0.449
960.0	0.4426
961.0	0.4363
962.0	0.4302
963.0	0.4241
964.0	0.4181
965.0	0.4122
966.0	0.4065
967.0	0.4006
968.0	0.395
969.0	0.3894
970.0	0.3838
971.0	0.3783
972.0	0.3728
973.0	0.3673
974.0	0.3618
975.0	0.3564
976.0	0.3512
977.0	0.346
978.0	0.3408
979.0	0.3357
980.0	0.3306
981.0	0.3256
982.0	0.3206
983.0	0.3155
984.0	0.3106
985.0	0.3059
986.0	0.3011
987.0	0.2964
